date,sunrise,sunset
2013-02-16,0 days 07:12:00.000000000,0 days 17:18:00.000000000
2013-03-16,0 days 06:12:00.000000000,0 days 18:07:00.000000000
2013-04-16,0 days 06:03:00.000000000,0 days 19:59:00.000000000
2013-05-16,0 days 05:07:00.000000000,0 days 20:48:00.000000000
2013-06-16,0 days 04:43:00.000000000,0 days 21:20:00.000000000
2013-01-17,0 days 07:58:00.000000000,0 days 16:24:00.000000000
2013-02-17,0 days 07:10:00.000000000,0 days 17:20:00.000000000
2013-03-17,0 days 06:10:00.000000000,0 days 18:09:00.000000000
2013-04-17,0 days 06:01:00.000000000,0 days 20:01:00.000000000
2013-05-17,0 days 05:06:00.000000000,0 days 20:49:00.000000000
2013-06-17,0 days 04:43:00.000000000,0 days 21:21:00.000000000
2013-01-18,0 days 07:57:00.000000000,0 days 16:26:00.000000000
2013-02-18,0 days 07:08:00.000000000,0 days 17:21:00.000000000
2013-03-18,0 days 06:08:00.000000000,0 days 18:11:00.000000000
2013-04-18,0 days 05:58:00.000000000,0 days 20:03:00.000000000
2013-05-18,0 days 05:04:00.000000000,0 days 20:51:00.000000000
2013-06-18,0 days 04:43:00.000000000,0 days 21:21:00.000000000
2013-01-19,0 days 07:56:00.000000000,0 days 16:28:00.000000000
2013-02-19,0 days 07:06:00.000000000,0 days 17:23:00.000000000
2013-03-19,0 days 06:06:00.000000000,0 days 18:12:00.000000000
2013-04-19,0 days 05:56:00.000000000,0 days 20:04:00.000000000
2013-05-19,0 days 05:03:00.000000000,0 days 20:52:00.000000000
2013-06-19,0 days 04:43:00.000000000,0 days 21:21:00.000000000
2013-01-20,0 days 07:55:00.000000000,0 days 16:29:00.000000000
2013-02-20,0 days 07:04:00.000000000,0 days 17:25:00.000000000
2013-03-20,0 days 06:03:00.000000000,0 days 18:14:00.000000000
2013-04-20,0 days 05:54:00.000000000,0 days 20:06:00.000000000
2013-05-20,0 days 05:02:00.000000000,0 days 20:53:00.000000000
2013-06-20,0 days 04:43:00.000000000,0 days 21:21:00.000000000
2013-01-21,0 days 07:54:00.000000000,0 days 16:31:00.000000000
2013-02-21,0 days 07:02:00.000000000,0 days 17:27:00.000000000
2013-03-21,0 days 06:01:00.000000000,0 days 18:16:00.000000000
2013-04-21,0 days 05:52:00.000000000,0 days 20:08:00.000000000
2013-05-21,0 days 05:01:00.000000000,0 days 20:55:00.000000000
2013-06-21,0 days 04:43:00.000000000,0 days 21:22:00.000000000
2013-01-22,0 days 07:52:00.000000000,0 days 16:33:00.000000000
2013-02-22,0 days 07:00:00.000000000,0 days 17:29:00.000000000
2013-03-22,0 days 05:59:00.000000000,0 days 18:17:00.000000000
2013-04-22,0 days 05:50:00.000000000,0 days 20:09:00.000000000
2013-05-22,0 days 04:59:00.000000000,0 days 20:56:00.000000000
2013-06-22,0 days 04:44:00.000000000,0 days 21:22:00.000000000
2013-01-23,0 days 07:51:00.000000000,0 days 16:34:00.000000000
2013-02-23,0 days 06:58:00.000000000,0 days 17:31:00.000000000
2013-03-23,0 days 05:56:00.000000000,0 days 18:19:00.000000000
2013-04-23,0 days 05:48:00.000000000,0 days 20:11:00.000000000
2013-05-23,0 days 04:58:00.000000000,0 days 20:58:00.000000000
2013-06-23,0 days 04:44:00.000000000,0 days 21:22:00.000000000
2013-01-24,0 days 07:50:00.000000000,0 days 16:36:00.000000000
2013-02-24,0 days 06:56:00.000000000,0 days 17:32:00.000000000
2013-03-24,0 days 05:54:00.000000000,0 days 18:21:00.000000000
2013-04-24,0 days 05:46:00.000000000,0 days 20:13:00.000000000
2013-05-24,0 days 04:57:00.000000000,0 days 20:59:00.000000000
2013-06-24,0 days 04:44:00.000000000,0 days 21:22:00.000000000
2013-01-25,0 days 07:49:00.000000000,0 days 16:38:00.000000000
2013-02-25,0 days 06:54:00.000000000,0 days 17:34:00.000000000
