datetime,A_sigma,B_sigma,C_sigma,D_sigma,E_sigma,F_sigma,G_sigma,H_sigma,I_sigma,J_sigma,K_sigma,L_sigma,M_sigma,N_sigma,O_sigma,P_sigma,Q_sigma,U_sigma,A_count,B_count,C_count,D_count,E_count,F_count,G_count,H_count,I_count,J_count,K_count,L_count,M_count,N_count,O_count,P_count,Q_count,U_count,mean,count,sigma
2012-06-01 00:00:00,17.777,0.765,7.614000000000001,29.934999999999995,126.53700030000014,47.498000000000005,9.005000000000003,27.532999899999997,1.5979999999999999,6.095000099999999,14.157000000000004,17.005000000000006,4.426,8.562,5.991,5.618999999999999,58.90500000000001,2.048,55,8,52,159,930,394,78,182,21,44,112,137,46,71,44,68,521,18,0.13301700690476195,2940,391.0700003000002
2012-06-01 00:30:00,17.505999900000003,0.872,7.184,25.912,131.7200001000001,41.89699999999996,8.174000000000003,22.699000000000005,1.5659999999999996,14.272,13.276000000000005,14.323,4.205000000000001,7.640999999999998,5.124999999999999,21.558000300000003,58.09999990000001,1.837,55,8,52,159,933,394,78,182,21,44,112,137,46,71,44,68,521,18,0.13519096167176353,2943,397.86700020000006
2012-06-01 01:00:00,16.349999999999998,0.851,6.4780000000000015,25.621999999999996,114.75299999999994,40.91400000000003,7.298999999999999,20.513000000000005,2.1120000000000005,9.209999900000001,12.953999999999997,13.911999999999999,4.165000000000001,7.856000000000001,4.941999999999998,18.242999799999996,51.63199999999998,2.384,55,8,52,159,933,394,78,182,21,44,112,137,46,71,44,68,521,18,0.12238871889228675,2943,360.18999969999993
2012-06-01 01:30:00,14.345999899999997,0.807,5.959,23.884999999999998,102.03200000000004,41.10100000000003,7.3580000000000005,19.862000000000013,1.5689999999999997,3.9369999999999994,11.571000000000003,12.635,4.545000000000001,7.144999999999999,4.441,11.017,47.616000100000036,2.9280000000000004,55,8,52,159,933,394,78,182,21,44,112,137,46,71,44,68,521,18,0.10966836561331979,2943,322.75400000000013
2012-06-01 02:00:00,14.357999899999996,0.674,5.723,23.187,95.85400000000008,37.43199999999999,7.0969999999999995,19.033,1.6520000000000001,3.9840000000000004,11.304999999999998,12.53,3.7840000000000003,7.696999999999998,4.436000000000002,8.231999999999998,45.237000000000016,2.395,55,8,52,159,933,394,78,182,21,44,112,137,46,71,44,68,521,18,0.10350322796466195,2943,304.6099999000001
2012-06-01 02:30:00,14.405000000000001,0.766,5.683000000000002,23.32199999999998,95.36899990000009,35.480999999999995,6.986999999999999,18.368999999999993,1.618,3.112000000000001,11.070999999999994,12.738000000000007,3.5230000000000006,6.270000000000001,4.208,8.174000000000001,45.727000100000026,1.193,55,8,52,159,933,394,78,182,21,44,112,137,46,71,44,68,521,18,0.10126265715256544,2943,298.0160000000001
2012-06-01 03:00:00,13.1820001,0.686,6.397,22.04399999999999,89.38799999999999,34.84299999999997,7.935999999999998,18.491000000000007,1.8449999999999998,3.457,10.729000000000001,14.144999999999998,3.9779999999999998,6.416,4.4449999999999985,7.315,44.12399999999996,1.094,55,8,52,159,933,394,78,182,21,44,112,137,46,71,44,68,521,18,0.09871389741760105,2943,290.5150000999999
2012-06-01 03:30:00,14.5229999,0.785,6.050999999999998,21.18799999999999,94.11899990000003,33.79100000000002,7.247000000000003,18.183000000000007,1.8029999999999997,3.5989999999999998,10.93,12.609000000000005,3.9869999999999988,6.381000000000001,4.148,7.514999999999999,41.876000000000005,1.0210000000000001,55,8,52,159,933,394,78,182,21,44,112,137,46,71,44,68,521,18,0.09845599721372753,2943,289.7559998000001
2012-06-01 04:00:00,14.044000099999996,0.764,6.0040000000000004,23.035000000000007,96.25199970000018,35.08699999999999,6.684999999999999,19.345000099999993,1.7519999999999998,4.136000000000002,11.912999999999998,13.036999999999992,3.5290000000000012,7.1469999999999985,3.9109999999999996,7.967999999999999,42.08900000000001,1.03,55,8,52,159,933,394,78,182,21,44,112,137,46,71,44,68,521,18,0.1011647977913694,2943,297.72799990000016
2012-06-01 04:30:00,15.198000100000003,0.652,6.293999999999998,22.491999999999994,100.57200010000004,39.08799999999997,8.707000000000006,19.41999999999999,1.7869999999999997,3.9349999999999996,13.207,14.993000000000007,3.6919999999999993,8.03,4.167000000000001,5.651999999999999,43.41099989999998,1.0920000000000003,55,8,52,159,933,394,78,182,21,44,112,137,46,71,44,68,521,18,0.10614644923547399,2943,312.3890001
2012-06-01 05:00:00,15.882,0.733,7.3690000000000015,22.70899999999999,107.94900030000001,43.543999899999974,7.0009999999999994,21.349000000000014,1.605,4.042,12.892999999999997,15.297,3.684,8.857000000000003,4.365000000000001,5.494999999999999,46.183999999999976,1.2319999999999998,55,8,52,159,933,394,78,182,21,44,112,137,46,71,44,68,521,18,0.11219503914373088,2943,330.1900002
2012-06-01 05:30:00,18.72299979999999,0.701,8.921,25.953999999999994,122.7270000000001,46.63499989999998,9.411,26.16200000000001,2.3110000000000004,5.660999999999999,15.080999999999994,19.10699989999999,4.189000000000001,13.594999900000007,4.706999999999999,6.1780000000000035,54.93700000000005,2.9730000000000003,55,8,52,159,933,394,78,182,21,44,112,137,46,71,44,68,521,18,0.13182908579680602,2943,387.9729995000001
2012-06-01 06:00:00,19.638000100000003,1.555,10.192,32.306000000000004,151.85999999999984,55.23500009999999,10.785000000000002,32.03800000000001,2.512,6.1110000000000015,18.180999999999994,21.873,5.220000000000001,14.420999900000005,5.17,5.41,56.257000000000026,2.532,55,8,52,159,933,394,78,182,21,44,112,137,46,71,44,68,521,18,0.15334556578321434,2943,451.2960000999998
2012-06-01 06:30:00,24.609999799999997,1.496,14.297000100000002,35.753,171.68499999999983,59.23100000000004,12.285999999999998,29.89899999999999,3.567,9.2990001,17.93799999999999,26.038999999999998,6.600000000000001,13.018999999999995,5.3149999999999995,8.930999999999997,67.15900000000003,1.989,55,8,52,159,933,394,78,182,21,44,112,137,46,71,44,68,521,18,0.17299116547740395,2943,509.11299999999983
2012-06-01 07:00:00,22.3460001,1.452,10.457000099999998,37.93500000000002,177.24300029999995,62.14899989999998,14.985000100000002,41.08699989999998,3.2609999999999997,6.638,20.074999999999996,25.906000000000017,7.573000000000001,12.85,5.613999999999998,8.676000000000002,74.25100020000004,2.047,55,8,52,159,933,394,78,182,21,44,112,137,46,71,44,68,521,18,0.18163268793747875,2943,534.5450006
2012-06-01 07:30:00,21.978000099999992,1.272,11.647,40.07699999999998,177.11300000000008,62.21999999999996,16.753000000000007,35.885999999999996,2.7150000000000003,6.836999999999999,18.882,26.567000000000007,8.93,14.850999900000001,5.915,8.389999999999999,76.93500000000014,2.352,55,8,52,159,933,394,78,182,21,44,112,137,46,71,44,68,521,18,0.18325518178729194,2943,539.3200000000002
2012-06-01 08:00:00,21.139,1.474,12.442,38.15799990000003,177.17000000000007,64.54399990000003,14.220999900000004,37.03599999999998,3.1370000000000005,8.262,21.21899989999999,21.704000000000008,5.35,13.094,6.068999999999998,6.816999999999998,70.42000000000006,2.758,55,8,52,159,933,396,78,182,21,44,113,137,46,71,44,68,521,18,0.17821249137813994,2946,525.0139996000003
2012-06-01 08:30:00,21.59299979999999,1.036,12.982000000000001,39.86,172.9820002999999,60.461999900000016,13.678999999999995,34.05300010000002,3.317,6.822999900000001,22.5000002,23.021,5.990000000000001,11.110999999999999,5.6080000000000005,7.815000000000001,71.85599990000001,2.4079999999999995,55,8,52,159,934,398,78,182,21,44,113,137,46,71,44,68,521,18,0.17534621909121736,2949,517.0960001
2012-06-01 09:00:00,22.191,1.786,11.674000000000003,38.1719999,177.97700019999996,57.144000000000055,11.789,32.47699999999998,2.695,6.190999999999999,20.144999900000006,22.443000000000016,6.229000000000003,10.832000000000003,5.955,7.404999999999999,71.44899999999996,1.5880000000000003,55,8,52,159,936,399,78,182,21,44,113,137,46,71,44,68,521,18,0.1721348238482385,2952,508.14200000000005
2012-06-01 09:30:00,21.33400029999999,1.672,12.404000000000003,40.79100009999999,166.4840000000001,66.89799990000003,12.060999999999998,31.49899999999999,2.687,5.339999999999998,19.152000000000005,24.24999999999999,5.993999999999999,11.094999999999999,6.951,7.187000000000001,71.32500000000007,1.7830000000000001,56,8,52,159,939,399,78,182,21,44,113,137,46,71,44,68,521,18,0.17216069022327474,2956,508.90700030000016
2012-06-01 10:00:00,21.516000000000002,1.1710000000000003,10.81,37.07999989999998,170.78799960000023,64.32299989999994,10.762000000000002,30.487000000000002,1.9609999999999999,6.228000100000001,20.600999900000005,23.348999999999993,8.110999999999999,9.344000000000001,5.356999999999999,7.299999999999998,70.52199989999995,1.8060000000000003,56,8,52,159,940,399,78,182,21,44,113,137,46,71,44,68,522,18,0.1695456387085869,2958,501.5159993000001
2012-06-01 10:30:00,20.987999900000002,1.8139999999999998,10.439,39.1030001,170.08900000000003,61.748000100000006,13.0889999,30.644999999999992,2.15,6.088,18.452999999999996,21.299000000000007,7.018,9.402999999999999,5.325999999999999,7.264000000000001,73.31100009999996,1.4810000000000003,56,8,52,160,941,399,78,183,21,44,113,137,46,71,44,68,522,18,0.16876325569064504,2961,499.70800009999994
