datetime,A_sigma,B_sigma,C_sigma,D_sigma,E_sigma,F_sigma,G_sigma,H_sigma,I_sigma,J_sigma,K_sigma,L_sigma,M_sigma,N_sigma,O_sigma,P_sigma,Q_sigma,U_sigma,A_count,B_count,C_count,D_count,E_count,F_count,G_count,H_count,I_count,J_count,K_count,L_count,M_count,N_count,O_count,P_count,Q_count,U_count,mean,count,sigma
2/1/2012 0:00,3.771,0.126,2.798,8.346,50.0050001,12.731,3.94,3.967,0.108,0.877,3.362,6.27,1.573,0.268,0.718,0.437,16.2469999,1.722,11,2,8,27,184,70,20,21,1,10,17,20,5,2,4,8,79,5,0.237380567,494,117.266
2/1/2012 0:30,3.555,0.11,1.809,7.641,75.2939993,10.839,8.1170002,2.857,0.067,30.7959997,2.919,4.901,1.432,0.244,0.545,0.551,25.4640001,2.3,11,2,8,27,184,70,20,21,1,10,17,20,5,2,4,8,79,5,0.363240889,494,179.4409993
2/1/2012 1:00,3.831,0.068,0.956,5.945,69.9449995,11.403,7.4329998,2.239,0.115,27.0040001,2.573,4.372,1.311,0.287,0.513,0.42,21.7269999,1.638,11,2,8,27,184,70,20,21,1,10,17,20,5,2,4,8,79,5,0.327489877,494,161.7799993
2/1/2012 1:30,2.852,0.085,0.925,4.808,65.0130008,9.69,6.8150001,2.26,0.088,23.734,2.256,3.734,1.344,0.32,0.529,0.326,18.804,1.152,11,2,8,27,184,70,20,21,1,10,17,20,5,2,4,8,79,5,0.292985832,494,144.7350009
2/1/2012 2:00,2.224,0.097,1.071,3.847,64.1119998,9.1689999,6.7969998,1.797,0.091,20.4599999,1.977,3.476,1.078,0.283,0.544,0.31,17.6290001,1.185,11,2,8,27,184,70,20,21,1,10,17,20,5,2,4,8,79,5,0.275601214,494,136.1469995
2/1/2012 2:30,1.784,0.095,0.99,3.803,58.4240006,6.765,6.6359998,1.843,0.053,15.209,2.254,3.427,1.037,0.256,0.476,0.271,17.939,1.158,11,2,8,27,184,70,20,21,1,10,17,20,5,2,4,8,79,5,0.247813766,494,122.4200004
2/1/2012 3:00,1.668,0.086,0.92,3.35,56.6789995,6.778,8.1340001,2.009,0.124,10.191,2.174,3.414,1.094,0.254,0.463,0.276,17.6640001,1.117,11,2,8,27,184,70,20,21,1,10,17,20,5,2,4,8,79,5,0.235617408,494,116.3949997
2/1/2012 3:30,1.664,0.079,0.898,4.249,52.4550006,6.152,8.3789999,1.765,0.053,8.1,2.144,3.411,1.082,0.247,0.532,0.248,14.7299999,1.162,11,2,8,27,184,70,20,21,1,10,17,20,5,2,4,8,79,5,0.217307693,494,107.3500004
2/1/2012 4:00,1.888,0.1,0.764,4.343,47.279,6.508,7.0970002,1.76,0.098,6.6339999,2.085,3.501,1.088,0.241,0.575,0.259,14.583,1.169,11,2,8,27,184,70,20,21,1,10,17,20,5,2,4,8,79,5,0.20237247,494,99.9720001
2/1/2012 4:30,2.035,0.069,0.912,3.531,41.34,5.818,6.724,2.093,0.084,4.052,2.181,3.6,1.051,0.229,0.458,0.296,16.217,1.069,11,2,8,27,184,70,20,21,1,10,17,20,5,2,4,8,79,5,0.185746964,494,91.759
2/1/2012 5:00,1.861,0.095,0.839,4.259,47.1019999,7.217,6.035,1.84,0.065,3.747,2.26,3.674,1.093,0.27,0.491,0.339,16.5280002,1.033,11,2,8,27,184,70,20,21,1,10,17,20,5,2,4,8,79,5,0.199894737,494,98.7480001
2/1/2012 5:30,1.967,0.111,0.825,3.353,51.5980001,8.161,7.0190002,2.077,0.084,4.121,2.403,3.791,1.107,0.27,0.869,0.668,20.1119999,1.016,11,2,8,27,184,70,20,21,1,10,17,20,5,2,4,8,79,5,0.221765183,494,109.5520002
2/1/2012 6:00,1.976,0.106,0.972,4.273,51.2189997,12.173,6.408,2.383,0.068,4.6040001,2.372,4.854,1.136,0.2,0.712,0.585,18.3489998,1.672,11,2,8,27,184,70,20,21,1,10,17,20,5,2,4,8,79,5,0.230894736,494,114.0619996
2/1/2012 6:30,2.225,0.1,1.364,5.4110001,53.0430001,11.14,5.27,2.872,0.101,4.108,2.857,4.858,1.234,0.301,2.1200001,1.103,16.851,1.786,11,2,8,27,184,70,20,21,1,10,17,20,5,2,4,8,79,5,0.236323887,494,116.7440003
2/1/2012 7:00,2.742,0.191,5.708,8.2510001,61.4099999,12.412,5.5290001,4.016,0.089,6.4559999,3.941,5.626,1.603,0.289,0.735,0.894,16.649,0.732,11,2,8,27,184,70,20,21,1,10,17,20,5,2,4,8,79,5,0.277880567,494,137.273
2/1/2012 7:30,3.429,0.166,5.289,10.057,59.4429998,15.332,4.024,6.142,0.095,1.472,3.989,10.251,2.665,0.495,1.285,0.907,19.3039999,1.69,11,2,8,27,184,70,20,21,1,10,17,20,5,2,4,8,79,5,0.295617408,494,146.0349997
2/1/2012 8:00,4.508,0.223,2.373,9.802,63.6779998,17.761,3.902,6.865,0.155,1.351,4.019,11.2880001,1.951,1.162,1.21,1.794,21.9999999,4.11,11,2,8,27,184,70,20,21,1,10,17,20,5,2,4,8,79,5,0.320145749,494,158.1519998
2/1/2012 8:30,4.794,0.142,2.442,7.744,62.5300002,12.871,4.33,5.083,0.134,1.396,4.566,8.917,1.824,1.448,0.937,1.195,20.9510001,0.979,11,2,8,27,184,70,20,21,1,10,17,20,5,2,4,8,78,5,0.288606491,493,142.2830003
2/1/2012 9:00,3.934,0.132,3.792,8.668,54.624,13.938,5.567,4.319,0.25,1.779,5.712,6.353,1.448,0.962,1.115,1.129,18.0269999,1.619,11,2,8,27,185,70,20,21,1,10,17,20,5,2,4,8,78,5,0.269975708,494,133.3679999
2/1/2012 9:30,3.698,0.151,3.033,7.612,49.6760001,15.64,6.169,3.896,0.177,2.308,5.039,5.476,1.141,0.507,0.567,0.582,16.925,1.7290001,11,2,8,27,186,70,20,21,1,10,17,20,5,2,4,8,78,5,0.251163637,495,124.3260002
2/1/2012 10:00,3.873,0.202,3.151,9.151,54.4479998,15.115,8.7110001,6.178,0.253,2.019,4.796,5.31,1.012,0.416,0.505,0.561,14.608,2.09,11,2,8,27,184,70,20,21,1,10,17,20,5,2,4,8,78,5,0.268557809,493,132.3989999
2/1/2012 10:30,3.87,0.252,3.9169999,9.4300001,51.8449998,16.542,4.68,6.436,0.444,1.679,4.214,5.273,0.752,0.513,0.558,1.19,16.888,1.111,11,2,8,27,186,70,20,21,1,10,17,20,5,2,4,8,78,5,0.26180606,495,129.5939998
