datetime,A_sigma,B_sigma,C_sigma,D_sigma,E_sigma,F_sigma,G_sigma,H_sigma,I_sigma,J_sigma,K_sigma,L_sigma,M_sigma,N_sigma,O_sigma,P_sigma,Q_sigma,U_sigma,A_std,B_std,C_std,D_std,E_std,F_std,G_std,H_std,I_std,J_std,K_std,L_std,M_std,N_std,O_std,P_std,Q_std,U_std,A_count,B_count,C_count,D_count,E_count,F_count,G_count,H_count,I_count,J_count,K_count,L_count,M_count,N_count,O_count,P_count,Q_count,U_count,count,sigma,mean,std
2013-03-01 00:00:00,46.315000000000005,4.338,25.377999999999997,61.57100020000001,360.9279997999998,107.79399990000003,40.1750001,79.24299989999999,6.987999900000001,46.8539999,29.199000000000005,50.208999999999996,18.244999999999994,20.344000000000012,15.168999999999999,48.4099998,128.83899990000006,12.402999899999996,0.47723897267578924,0.2740514550225925,0.21257490081327124,0.34035626056376833,0.5976953571655739,0.2567208268799997,0.41970785111673087,0.2273169755493387,0.2693828063763903,1.2975988156537506,0.2776762208476741,0.19476989619874166,0.23191633034948794,0.17804177558261294,0.26970243345294787,1.1299624636062016,0.3225123004966005,0.48894439184249266,117,20,116,208,1188,519,155,368,41,78,138,262,94,124,84,87,696,38,4333,1102.4019993,0.2544200321486268,0.46875659343208587
2013-03-01 00:30:00,42.972000200000004,3.3360000000000003,19.832999999999995,55.60200010000004,324.6049997000002,92.55399999999993,36.361,67.21499999999997,5.9300000000000015,42.6709995,22.577999899999995,43.58999989999999,16.712999999999997,19.05699989999999,12.476000000000004,45.455,115.09500000000017,12.828999800000004,0.4285702984844603,0.19534062018621945,0.17078231561065485,0.35691141031858065,0.5651032944869262,0.24151743982879184,0.3628646115241595,0.21387221344572227,0.2377850664042594,1.214383896578631,0.19211782922020648,0.19006255427791316,0.23009168718481213,0.25294428425291493,0.2080386013874358,1.0577031374192492,0.2796076233573286,0.7658726064341269,117,20,116,208,1188,519,154,368,41,78,138,262,94,125,84,87,696,38,4333,978.8719990000003,0.22591091599353805,0.4420393553070044
2013-03-01 01:00:00,39.16099990000001,2.596,17.406999999999996,48.98699999999999,298.6589997999997,80.2580000000001,29.680999999999994,54.796000000000014,4.502,37.0040002,18.05699999999999,41.11599999999998,18.824999799999997,15.89600000000001,11.981000100000005,41.484,104.36999989999998,13.597000000000003,0.38561739335145734,0.11585907955697504,0.15105267084800209,0.30660802807943127,0.5504209725946487,0.23143749712725908,0.30369446381045784,0.1668785431673232,0.1668205951782026,1.02104345429763,0.1650096171571939,0.1856273071981055,0.41064446994243514,0.1271220353478017,0.219483943859271,0.9483890181739473,0.2613741888169046,1.0574540525514422,117,20,116,208,1188,518,154,368,41,78,138,262,94,125,84,87,696,38,4332,878.3769996999999,0.20276477370729454,0.4185657690350257
2013-03-01 01:30:00,35.38600020000002,2.3019999999999996,15.631999999999994,44.144000199999994,271.58999960000006,76.44699990000001,25.473000000000006,49.71499990000004,4.307,31.443999899999998,18.495999999999984,38.368999999999986,15.283,14.913,10.594,36.592999999999996,93.24000019999993,14.365,0.34620627764671236,0.08723465028603208,0.1174407247852335,0.31059067472014373,0.5125578035361622,0.22602823813271694,0.26148439045717986,0.14814043949095757,0.1651794404911689,0.8756273504978745,0.19225575810875106,0.18837621068119742,0.2569148810790863,0.12298978609572006,0.17959481871681438,0.8605780942202,0.23245449799049053,1.1775935135172717,117,20,116,208,1188,519,154,368,41,78,138,262,94,125,84,87,696,38,4333,798.2929999,0.18423563348719132,0.38733171629928126
2013-03-01 02:00:00,34.43199999999999,2.338,16.352999999999998,38.78499999999999,246.49400010000033,68.89599990000004,23.006999900000007,47.47200000000001,4.8260000000000005,24.8680002,16.788999899999997,35.178999999999995,14.885000100000001,17.343999899999996,9.863000000000003,32.6489999,82.62899999999999,14.852999700000002,0.3580671064977535,0.1067002195035477,0.18006474493585797,0.260449330838862,0.4654315324170664,0.1967049198409904,0.23941500886852002,0.15196790855837827,0.17463336506842544,0.5933992120731016,0.22521316024941646,0.15995758249448155,0.23080377627833082,0.2537293268481708,0.1671681361473289,0.7874844479657818,0.21121982898447106,1.19248180160658,117,20,116,208,1187,519,154,368,41,78,138,262,94,125,84,87,696,38,4332,731.6619996000005,0.16889704515235468,0.351974297883337
2013-03-01 02:30:00,31.25299989999999,2.282,15.370000000000003,35.25800009999998,233.00599990000015,63.22900000000003,22.147999900000006,45.22999990000002,4.379,19.783000100000002,16.6319999,32.68700000000001,12.783000000000001,13.954,10.047000000000004,27.7449998,77.42200010000003,14.974999900000002,0.3195988340335517,0.09671384813485931,0.1860398040626042,0.22143207854340952,0.4378041738564539,0.17623647974078455,0.24684022121772228,0.13228405013905203,0.164193669109408,0.43417090140136805,0.22903029877153666,0.15882217158915551,0.17943480528586225,0.12493718008560113,0.17896328073652248,0.6927959360155513,0.21821749714743885,1.1657078981294806,117,20,116,208,1188,519,154,368,41,78,138,262,94,125,84,87,696,38,4333,678.1829995000002,0.1565158087929841,0.3255639633111754
2013-03-01 03:00:00,31.866000099999997,2.215,14.869000000000003,34.94500000000001,222.2580002000001,62.716000099999974,24.186000099999998,43.90499999999998,4.4780000000000015,18.246,16.52499999999999,30.148000000000003,11.657000000000002,13.69,9.627,22.757000100000003,71.09199980000005,13.8489999,0.3439274074093045,0.10517998358703248,0.19005763881508161,0.20998220530993272,0.3970969491903307,0.18168747845217795,0.3498839425135029,0.12443417770893683,0.16841310996996672,0.3932904735731551,0.1772838896840917,0.14079975132987516,0.17928109092436115,0.11422569622208195,0.15493636609500794,0.6289426695251741,0.18760670186155115,1.0007617295060576,117,20,116,208,1188,519,154,368,41,78,138,262,94,125,84,87,696,38,4333,649.0290003000001,0.1497874452573275,0.3003364540347946
2013-03-01 03:30:00,33.564,2.4560000000000004,14.982000000000005,35.788000100000026,216.05999980000027,60.295999999999964,23.643,42.64599989999999,4.882000000000001,15.524999999999999,16.191,30.414999999999996,11.193999999999996,13.090999999999998,8.944999999999997,17.5569998,71.38700000000004,13.590999899999995,0.3370471556709664,0.10148715241479168,0.18725279836294204,0.24587709005107497,0.38137099605448693,0.16794165936198335,0.3440527812914824,0.1283178212523527,0.18330512680281236,0.33895045963372594,0.18781125651469194,0.14212086730332715,0.16878265336482384,0.10037505280599583,0.1274867811760946,0.49798929147778287,0.18924275035960636,0.9825096033470996,117,20,116,208,1188,519,154,368,41,78,138,262,94,125,84,87,696,38,4333,632.2129995000004,0.14590653115624289,0.2874477212491957
2013-03-01 04:00:00,33.386999999999986,2.4430000000000005,15.010999899999996,34.02499999999999,210.33400060000034,58.84199980000001,22.583,44.13000000000001,4.4280001,15.341000000000001,16.115000100000014,31.801,10.897,12.42799999999999,7.6599999999999975,15.948000199999996,67.59499989999995,12.365000200000003,0.34171452749683806,0.10839123823591919,0.1887521864423342,0.23488017924427104,0.3681417898888793,0.16416087796593046,0.2598259266089291,0.13769234309502035,0.1661881604387035,0.3210296136192311,0.23149877488091306,0.18118109303560057,0.16895607620088093,0.09226419499144486,0.09317769992667736,0.47860499278930957,0.16887817270410707,0.9693631971778998,117,20,116,208,1188,519,154,368,41,78,138,262,94,125,84,87,696,38,4333,615.3330008000003,0.1420108471728595,0.27745558247223606
2013-03-01 04:30:00,34.66299999999998,2.386,15.204000000000002,33.329999900000004,200.87500040000012,58.62399999999999,23.346999900000004,45.775000100000035,4.567999999999999,16.844000099999995,16.389999999999997,31.745,12.241000000000001,11.610999999999995,8.100000000000001,16.886,70.88499979999999,11.982999800000004,0.35941241334276275,0.10286020150005336,0.1887703792229173,0.22907161586976485,0.3356385967846298,0.18135973885052573,0.29331618063021614,0.15228622506802794,0.16674066324831446,0.35695709052544455,0.18167562695238243,0.15733791078900414,0.20322963092819699,0.0808262988181765,0.12825034683381886,0.5277820783897398,0.1821180030687901,0.9411640767453378,117,20,116,208,1188,519,154,368,41,78,138,262,94,125,84,87,696,38,4333,615.4570000000001,0.14203946457419803,0.2710391415590265
