datetime,A_sigma,B_sigma,C_sigma,D_sigma,E_sigma,F_sigma,G_sigma,H_sigma,I_sigma,J_sigma,K_sigma,L_sigma,M_sigma,N_sigma,O_sigma,P_sigma,Q_sigma,U_sigma,A_count,B_count,C_count,D_count,E_count,F_count,G_count,H_count,I_count,J_count,K_count,L_count,M_count,N_count,O_count,P_count,Q_count,U_count,mean,count,sigma
2013-08-01 00:00:00,27.894000100000007,2.648000000000001,17.83899999999999,31.765000000000022,168.50700010000006,66.97999990000002,19.005,55.02799989999999,4.6450000000000005,19.01300000000001,18.50099989999999,34.143999999999984,10.739,13.282999999999998,8.915000000000003,23.986999900000004,82.26899990000001,4.061,113,20,114,203,1145,515,152,364,40,74,134,254,91,122,81,84,670,37,0.14460550669356756,4213,609.2229997000002
2013-08-01 00:30:00,25.733000000000008,2.254,16.186000000000003,29.083000000000002,151.12199990000002,61.717,17.741999999999997,52.80800000000003,3.940000000000001,12.766999899999998,18.753,30.784000000000002,10.169000000000008,12.366000000000007,8.7649999,20.479000099999997,75.83799999999991,3.1759999999999997,113,20,114,202,1146,513,152,365,40,74,134,254,91,122,80,84,668,37,0.13154716079828938,4209,553.6819998
2013-08-01 01:00:00,24.280000199999996,1.9309999999999996,15.024000000000001,26.740999999999996,132.0519998000002,58.35100000000004,16.158000000000005,48.980000000000004,3.877,8.844000000000001,16.973999999999997,30.730999999999995,9.103,11.721,8.526000000000003,12.704999999999995,71.246,4.131000000000001,113,20,114,202,1147,514,152,365,40,74,134,254,91,122,80,84,668,37,0.11906316789361204,4211,501.3750000000003
2013-08-01 01:30:00,24.053000199999985,2.0780000000000007,14.315999999999997,25.335999999999995,123.97800000000014,56.29099989999999,14.730999999999987,47.45299999999998,3.742,8.955,15.815999999999988,28.954000000000022,8.748999999999999,11.377999999999997,7.654999999999999,9.993,63.643999999999956,3.201,113,20,114,202,1147,514,152,365,40,74,134,254,91,122,80,84,668,37,0.11168914749465686,4211,470.32300010000006
2013-08-01 02:00:00,23.394000000000002,1.984,13.925999999999993,26.178000000000004,122.57900000000006,54.700000000000024,15.212000000000005,47.71600009999998,3.8539999999999996,8.919999999999996,16.402,27.719999999999985,8.088999999999997,11.183999999999997,7.143999999999999,7.513,59.86099999999997,2.993,113,20,114,202,1147,514,152,365,40,74,134,254,91,122,80,84,668,37,0.10908786513892188,4211,459.36900010000005
2013-08-01 02:30:00,23.14899979999999,2.044,14.165000000000001,26.2510001,119.53300000000019,54.72499999999997,13.658000000000005,47.731999900000005,3.6240000000000006,9.174000000000003,16.532000000000004,26.62299999999999,8.171999999999999,11.46,7.053999999999998,6.067999999999997,62.04799999999994,2.7750000000000004,113,20,114,202,1147,514,152,365,40,74,134,254,91,122,80,84,668,37,0.1079997624792211,4211,454.7869998000001
2013-08-01 03:00:00,23.861999900000004,1.9390000000000005,15.301000000000002,25.205000000000013,115.78899980000013,52.40599999999997,15.777,43.95700010000002,4.417000000000001,8.281999999999998,14.743999999999998,26.497000000000018,7.689,11.443000000000007,6.92,6.381999999999999,58.630999899999985,2.8489999999999998,113,20,114,202,1147,514,152,365,40,74,134,254,91,122,80,84,668,37,0.10498456416528146,4211,442.0899997000002
2013-08-01 03:30:00,23.1040001,2.2660000000000005,15.278000100000005,24.319,112.50199990000011,51.09900000000001,15.802000000000008,43.67900009999998,4.016,8.313999999999998,14.332,26.937000000000005,7.8389999999999995,11.378000000000005,7.327999999999999,6.639,56.257,3.07,113,20,114,202,1147,514,152,365,40,74,134,254,91,122,80,84,668,37,0.10310116366658754,4211,434.15900020000015
2013-08-01 04:00:00,22.70999999999999,2.1350000000000002,14.678,24.699,114.95399990000011,50.765999999999984,13.883999999999999,45.14899989999999,3.434,8.649000099999997,14.747,25.674999999999986,8.379,11.858999999999998,7.587000000000002,5.738999999999999,55.05900000000007,3.849,113,20,114,202,1147,514,152,365,40,74,134,254,91,122,80,84,668,37,0.10305200662550466,4211,433.95199990000015
2013-08-01 04:30:00,23.215999999999998,1.929,14.5449999,24.460000000000004,125.44599990000007,50.553,15.984999900000004,45.27100000000002,3.443,8.870999999999997,15.819999999999993,26.93599999999999,10.883999999999997,14.200000000000003,8.976999999999999,6.117999999999997,55.006000100000044,4.3049999,113,20,114,202,1147,514,152,365,40,74,134,254,91,122,80,84,668,37,0.1082795059843268,4211,455.96499970000013
2013-08-01 05:00:00,23.763000100000006,2.097,15.824,25.932000000000002,123.40200000000002,51.501,19.340999900000007,48.061000000000014,3.7829999999999995,8.986999999999995,15.664000100000003,30.422999999999995,10.116999999999999,16.052000000000007,10.543000000000001,6.259,56.385000000000026,3.722999999999999,113,20,114,202,1147,514,152,365,40,74,134,254,91,122,80,84,668,37,0.11205343151270483,4211,471.85700010000005
2013-08-01 05:30:00,28.360999999999997,2.7570000000000006,19.073999999999995,27.685,133.7590001,60.33100009999994,18.973999999999993,53.78199999999995,4.562000000000001,13.354999900000003,16.454999999999995,34.137999999999955,10.227,18.196,9.130999999999993,7.229000000000001,60.711000000000006,4.082,113,20,114,202,1147,514,152,365,40,74,134,254,91,122,80,84,668,37,0.1241531702920921,4211,522.8090000999998
2013-08-01 06:00:00,29.055999900000014,2.7090000000000005,18.098000000000003,32.51100000000002,152.9969998,69.17400019999995,21.936000000000003,55.204999999999956,4.822,14.5660001,17.179000000000006,44.791999899999986,12.85700000000001,15.203999999999997,12.317000100000001,8.801,68.07099999999996,3.3149999999999995,113,20,114,202,1147,514,152,365,40,74,134,254,91,122,80,84,668,37,0.13859178342436473,4211,583.6099999999999
2013-08-01 06:30:00,36.358999900000015,2.7510000000000003,23.442000000000004,35.469000000000015,173.15100009999966,71.35600009999999,24.30200000000002,62.57500000000001,5.825000000000002,15.491999899999996,18.573999999999984,41.58000000000002,14.095,16.192000000000004,12.614999999999998,11.867000000000003,78.2070001,4.14,113,20,114,202,1147,514,152,365,40,74,134,254,91,122,80,84,668,37,0.15388078843505099,4211,647.9920000999997
2013-08-01 07:00:00,37.542,4.069,24.873000000000005,40.37999999999999,182.80300000000008,78.62900010000001,28.187999900000005,66.61900009999995,6.59,14.667999999999994,21.174000000000014,45.77799989999999,13.416000000000006,19.59600000000001,12.535,7.826999999999998,83.33600000000003,4.361,113,20,114,202,1147,514,152,365,40,74,134,254,91,122,80,84,668,37,0.16442270244597484,4211,692.384
2013-08-01 07:30:00,40.528999899999995,4.451999999999999,21.28399999999999,44.6280001,196.15600000000018,77.31399989999998,31.122,72.02000009999996,5.106999999999999,16.713999800000003,23.869000000000003,47.02700000000001,16.29800000000001,18.899,11.504,8.877,86.98200000000011,6.267999999999998,113,20,114,202,1147,514,152,365,40,74,134,254,91,122,80,84,668,37,0.1731298978389932,4211,729.0499998000004
2013-08-01 08:00:00,39.97700000000001,3.6170000000000004,24.865000000000006,46.30000010000004,191.9510000999998,80.17199999999997,28.896999999999995,72.3509999,6.115,14.2269999,22.091999999999995,46.28900010000002,12.496,23.280999999999988,10.513999999999998,7.784,89.145,5.0329999999999995,113,20,114,202,1147,514,152,365,40,74,134,254,91,122,80,84,668,37,0.17219330327713128,4211,725.1060000999998
2013-08-01 08:30:00,38.001000000000005,5.2780000000000005,24.6510001,47.120000000000005,201.44800010000012,86.064,26.678000000000015,74.10800000000005,9.121,11.950999999999999,21.466000000000005,44.41199999999999,14.489999999999997,20.589999999999996,10.402,8.822000000000003,84.92999999999999,7.146999999999999,113,20,114,202,1147,514,152,365,40,74,134,254,91,122,80,84,668,37,0.17494158161956783,4211,736.6790002000001
