datetime,A_sigma,B_sigma,C_sigma,D_sigma,E_sigma,F_sigma,G_sigma,H_sigma,I_sigma,J_sigma,K_sigma,L_sigma,M_sigma,N_sigma,O_sigma,P_sigma,Q_sigma,U_sigma,A_std,B_std,C_std,D_std,E_std,F_std,G_std,H_std,I_std,J_std,K_std,L_std,M_std,N_std,O_std,P_std,Q_std,U_std,A_count,B_count,C_count,D_count,E_count,F_count,G_count,H_count,I_count,J_count,K_count,L_count,M_count,N_count,O_count,P_count,Q_count,U_count,count,sigma,mean,std
2013-06-01 00:00:00,28.84100000000001,2.666,17.601,38.010000000000005,192.50599990000038,70.30100000000006,22.417999999999996,55.19799999999998,3.866000000000001,27.6060005,18.087,34.157,10.876000000000003,15.834999999999999,12.374,29.636999999999997,83.82300000000008,5.87,0.2671174378173186,0.09504187442773235,0.17115255413289435,0.23394648715573077,0.306128403275658,0.14466229121168614,0.2150880001436365,0.14488950316139795,0.06773634323700942,0.8089688103824778,0.11676317579974614,0.12390964700190286,0.12622145528287196,0.1774241392912814,0.24051788823677742,0.7092551536067657,0.17400607842348847,0.2969148976667497,114,20,114,204,1163,518,154,366,41,74,137,257,93,123,82,86,679,37,4262,669.6720004000005,0.15712623190990155,0.26391748761674066
2013-06-01 00:30:00,26.124000000000002,2.286,16.574,32.88600009999999,169.4559999000001,62.86199999999996,21.424000099999997,46.469999999999956,3.7699999999999996,21.2050001,18.264000100000008,31.757999899999998,10.701,13.653000000000002,9.773999999999997,26.1520001,75.3229998,5.623999999999999,0.2477481799919708,0.061624584977784724,0.15280281172249296,0.17438935722421572,0.28259825242916,0.13041403076939814,0.21548246955796846,0.10949319871987769,0.06554614833058926,0.6296013818768775,0.20704618667833344,0.13100519880849354,0.13581891768498974,0.10138208850113742,0.1617450698792141,0.5851329612016841,0.160514039989905,0.32675917057606135,114,20,114,205,1165,518,154,366,41,74,136,257,93,123,82,86,677,37,4262,594.3060001000001,0.13944298453777573,0.2322932502657385
2013-06-01 01:00:00,24.142999999999997,2.2380000000000004,15.169999999999998,29.249,155.27700030000005,58.933000000000014,17.761999999999997,42.94500000000005,3.5429999999999997,12.348999999999998,14.945999999999996,29.931999999999995,9.818000000000001,11.406999999999993,8.680000000000003,21.477000100000005,70.01200010000001,6.184,0.2332623483636074,0.06344819685547043,0.1341985531553731,0.15274284347054756,0.24284291125583826,0.14879495102654067,0.1341862533884197,0.09999489937586917,0.05313284088478429,0.2931299656916287,0.09639227565578175,0.12828240284000245,0.11590423313061955,0.0737616717519707,0.12487496185209018,0.5813976229872161,0.16477603898811835,0.32959715834149245,114,20,114,205,1165,518,154,366,41,74,136,257,93,123,82,86,677,37,4262,534.0650005000001,0.12530854070858755,0.1990318906769896
2013-06-01 01:30:00,22.546999999999993,2.1440000000000006,14.125999999999992,28.41299999999999,143.57600010000016,57.20299989999996,15.988,38.65599999999995,3.4640000000000004,10.685999999999998,14.226999999999997,28.04199999999998,9.164999999999996,11.340000000000003,8.196999999999997,13.729000099999999,65.10699999999994,4.167000000000001,0.22153885608855464,0.06569274573425338,0.10575891446796641,0.14873675917341941,0.21313880575132835,0.15094655991830813,0.11265137699627234,0.08053649641643255,0.04705482013100226,0.20701617426843125,0.09246806638323089,0.10816523325930964,0.10154711009192945,0.0731095807379698,0.12523690588482186,0.35270814856501226,0.1412847928834885,0.15465236129090576,114,20,114,205,1166,518,154,366,41,74,136,257,93,123,82,86,677,37,4263,490.77700009999995,0.11512479476894205,0.1658803714134534
2013-06-01 02:00:00,21.833,1.9720000000000002,13.175000000000004,27.347999999999995,135.69900000000007,52.296000100000036,14.142000000000001,37.78500000000001,3.3480000000000003,7.291,13.351999999999999,27.064999999999998,9.301999999999996,11.916999999999998,7.5150000000000015,8.3079999,58.260000000000026,4.460000000000001,0.2279331617781006,0.0516184381582273,0.10460875014571486,0.14779502557234844,0.18753585887123136,0.13416776497326702,0.08305213774639292,0.08810103663769221,0.04379189979670759,0.11720234498717341,0.09465186757195225,0.09998361383864565,0.0941790591621393,0.07855886414198733,0.11579487738421408,0.23962966902286031,0.0872004413011043,0.21306644693806392,114,20,114,205,1166,518,154,366,41,74,136,257,93,123,82,86,677,37,4263,455.0680000000001,0.10674829931972792,0.1424310256910071
2013-06-01 02:30:00,21.571999899999998,2.0930000000000004,13.506,26.38800000000002,125.1390000000002,51.665999999999954,14.011000000000001,37.43200000000004,3.5340000000000016,6.828000000000001,12.699000000000002,25.251999999999995,9.903999999999998,11.114000000000006,7.584999999999997,8.357,56.23800000000002,3.514,0.21801278319712022,0.06071527597600217,0.11007440850418145,0.14981883097201476,0.17140359072036954,0.13396635837342233,0.08669995369647092,0.08538770046483839,0.05371322905588302,0.10582167700057314,0.07753278279158701,0.08311722356914007,0.11299986760822506,0.08053490538232075,0.11081407518568775,0.20893416874055104,0.10972477495204595,0.11652407631198096,114,20,114,205,1166,518,154,366,41,74,136,257,93,123,82,86,677,37,4263,436.8319999000002,0.10247056061459071,0.13607681852039702
2013-06-01 03:00:00,21.175000000000004,2.118,12.849000000000006,25.193,127.84700010000032,50.13000009999997,14.697999999999997,38.22100000000002,3.1510000000000016,6.470999999999999,13.290999999999999,25.180000000000017,8.724,11.357000000000001,7.403,8.444,55.55000000000001,3.9020000000000006,0.21429195250824662,0.06840121574789057,0.09099000467173864,0.11456108994135372,0.16094803653118564,0.11403133573037805,0.12537775532199297,0.09491587700097534,0.04354340419375233,0.08969341111273521,0.08444208770791131,0.09125757374224348,0.09427737269038913,0.07470364033821528,0.11000878465374334,0.20795500144632006,0.11468405329162626,0.10651280428886228,114,20,114,205,1166,518,154,366,41,74,136,257,93,123,82,86,677,37,4263,435.70400020000034,0.1022059582922825,0.13000988100860977
2013-06-01 03:30:00,22.573000099999994,2.1870000000000003,13.132000000000003,25.396000000000004,119.55800010000014,49.16499999999998,15.192000000000007,37.15699999999998,3.258,7.135,12.471000000000005,24.752999999999997,8.422000000000002,12.291999999999994,8.571000000000002,6.353000000000001,54.62199999999993,2.888,0.2586917959097842,0.06319916305241957,0.11585571414043778,0.11522201906608903,0.14472804817670307,0.11120845857520158,0.13738579487546196,0.08088956322499488,0.045123218835193706,0.1116976112076717,0.07354941094035493,0.08614888708149038,0.09542951671323474,0.11000802801088018,0.17945790975345835,0.09387861956823983,0.12111534626881663,0.07708002549513285,114,20,114,205,1166,518,154,366,41,74,136,257,93,123,82,86,677,37,4263,425.1250002,0.09972437255453906,0.12723083199222515
2013-06-01 04:00:00,22.1869999,2.004,12.487000000000005,26.256999999999994,121.8150000000002,49.69199999999993,12.899,37.91499999999999,3.1089999999999987,8.110000000000001,12.198999999999998,24.389,8.453999999999999,11.294999999999998,9.831000000000003,5.271999999999999,55.01100000000004,3.4880000000000004,0.24777699111835752,0.05532735118794035,0.07959912613748124,0.13784190273010027,0.16574253866020996,0.11108807297627071,0.08208277785776459,0.08550934165950083,0.04016771243114573,0.1756278692677561,0.06289077184298612,0.06988325559599061,0.08856698085729647,0.07365890676748826,0.204496129100831,0.06596809741747131,0.11232419056355845,0.15142134897340243,114,20,114,205,1166,518,154,366,41,74,136,257,93,123,82,86,677,37,4263,426.41399990000014,0.1000267417077176,0.13177151837042803
2013-06-01 04:30:00,22.805000000000003,1.9480000000000002,13.345999999999995,26.933000000000007,132.13899990000024,48.69100010000001,17.004999999999992,38.54700000000003,3.392000000000001,8.429999999999998,12.240000000000004,23.717000000000024,9.643999999999991,12.688999999999998,9.769999999999998,6.755999999999998,50.358999999999995,3.426,0.25598583998279467,0.05887310171260861,0.12834133962448,0.14072703939686904,0.18999593823128763,0.10248293925354705,0.1452863200838164,0.09396483746827933,0.0540717229197683,0.12500287741967708,0.06248922870146266,0.06934684858420252,0.19248838389267503,0.11022215822450522,0.1937223494854261,0.09213884722668637,0.08163014056901909,0.11835151490826419,114,20,114,205,1166,518,154,366,41,74,136,257,93,123,82,86,677,37,4263,441.8370000000003,0.10364461646727663,0.14215939905321498
