datetime,A_sigma,B_sigma,C_sigma,D_sigma,E_sigma,F_sigma,G_sigma,H_sigma,I_sigma,J_sigma,K_sigma,L_sigma,M_sigma,N_sigma,O_sigma,P_sigma,Q_sigma,U_sigma,A_std,B_std,C_std,D_std,E_std,F_std,G_std,H_std,I_std,J_std,K_std,L_std,M_std,N_std,O_std,P_std,Q_std,U_std,A_count,B_count,C_count,D_count,E_count,F_count,G_count,H_count,I_count,J_count,K_count,L_count,M_count,N_count,O_count,P_count,Q_count,U_count,count,sigma,mean,std
2012-04-01 00:00:00,8.159000099999998,0.14900000000000002,3.071,14.050999999999993,80.12499999999999,16.252999999999993,5.6179999999999986,6.433000000000001,0.518,1.0000000000000002,2.6619999999999995,5.986000000000001,1.048,1.0790000000000002,1.659,2.1670000000000003,22.56000000000001,1.4100000000000001,0.40138008168010064,0.05325723737984663,0.18505943004088937,0.23732011184291363,0.3743305749563091,0.14840032644273204,0.21445953453745764,0.14794377856524285,0.06279570048976284,0.07746446662659978,0.09884860959592512,0.23082722663531208,0.1038230137388536,0.09944451272499207,0.1250750320262347,0.08949203124253007,0.17899728167108456,0.18511293849971697,21,3,17,72,427,118,30,45,5,13,22,34,11,10,11,31,150,6,1026,173.94800009999997,0.16953996111111108,0.28285672502935494
2012-04-01 00:30:00,8.071,0.146,2.774,15.276000099999997,110.68099990000002,13.738999999999999,7.199000100000001,5.789000000000001,0.442,23.8869998,2.3999999999999995,5.0809999999999995,0.9810000000000001,1.266,1.479,31.4630002,31.5549998,2.6659998999999996,0.4030481774345759,0.05575242894559243,0.15817641863364054,0.33195499049997806,0.6046381437944601,0.12826031747796365,0.49665194447153493,0.12398261526879034,0.04932342242788916,1.877867505255937,0.07146021809764347,0.20518907631986213,0.07899217452611136,0.14450236445585704,0.12549619697243997,1.2480290049299552,0.5005845572450422,0.724454144967093,21,3,17,72,428,118,30,45,5,13,22,34,11,10,12,31,150,6,1028,264.8949998,0.2576799608949416,0.5958723258463291
2012-04-01 01:00:00,7.056,0.13,2.13,14.1810001,99.68799970000005,14.018999999999991,6.0060001,4.807,0.44900000000000007,18.3350002,2.185,4.500999900000001,1.1780000000000002,1.041,1.139,29.9200003,25.71600009999998,1.392,0.30874147761517245,0.012503332889007372,0.11315131721829533,0.3375806893592797,0.572120761823817,0.13166691064401778,0.48879906690328045,0.06867852942543545,0.05279393904606854,1.3742523365988646,0.05890135932107281,0.21371318917398738,0.13535616317364682,0.13448457160581653,0.11868097675038002,1.195818119083496,0.3845163059520801,0.3204184763711357,21,3,17,72,428,118,30,45,5,13,22,34,11,10,12,31,150,6,1028,233.8730004,0.2275029186770428,0.5303141110970637
2012-04-01 01:30:00,5.437999999999999,0.167,2.0690000000000004,12.607000099999995,85.56000040000004,15.217000000000008,5.7850000999999995,4.888000000000001,0.46399999999999997,12.528999899999999,2.032999999999999,4.8310001,0.8930000000000001,1.175,1.088,22.3099999,22.717000100000003,1.225,0.27298030628425857,0.03338163167571851,0.11608712498910159,0.3124385844016188,0.48047277024848223,0.21364053978698694,0.49202728675734375,0.07393279776836924,0.02620496136230694,0.9780390259104423,0.07318252399433772,0.20993599029346877,0.08447226548615608,0.14199002312369227,0.10599170922408235,0.9766283189069258,0.320745455289527,0.3237069147649872,21,3,17,72,428,118,30,45,5,13,22,34,11,10,12,31,150,6,1028,200.99600060000006,0.19552140136186777,0.4369110034609292
2012-04-01 02:00:00,5.224,0.182,1.9469999999999998,11.999999999999998,79.44299969999999,14.720999999999998,5.3549999,4.560000000000001,0.419,7.0080001,1.9049999999999998,4.602000000000001,0.868,1.291,1.1440000000000001,14.5829997,20.303000000000004,1.128,0.2702160070687717,0.051791247651831414,0.09922015775981387,0.27789850209166067,0.429930306242914,0.21332928427410167,0.48821847109740735,0.0669368766416947,0.053349789127980614,0.5295450133732376,0.07833241686854511,0.21183697024075923,0.07827573640082162,0.1802796901114118,0.10865904416470762,0.7621750975123484,0.2637270079463951,0.33361834481934594,21,3,17,72,428,118,30,45,5,13,22,34,11,10,12,31,150,6,1028,176.68299939999997,0.17187062198443576,0.3668552480200474
2012-04-01 02:30:00,5.394,0.16000000000000003,1.7330000000000003,12.215999900000002,76.21099980000004,13.962,5.23,4.5,0.45499999999999996,3.9450000000000003,1.9570000000000005,4.586,0.939,1.1580000000000001,1.172,10.811,20.677999900000003,1.21,0.2841716533566087,0.040648903224236366,0.07999021079813087,0.2818557621468811,0.3837055561782332,0.2083025774777213,0.49492816151182106,0.06597830221850486,0.04324927745061182,0.24979512117754135,0.06425357301365928,0.21603405521462987,0.12012349705804666,0.19037728622687924,0.10691061120337302,0.6469119449477874,0.28077477365586717,0.32285703750525035,21,3,17,72,428,118,30,45,5,13,22,34,11,10,12,31,150,6,1028,166.31699960000006,0.16178696459143974,0.33162747124196035
2012-04-01 03:00:00,5.476,0.165,1.7190000000000003,11.676,70.51800010000001,13.28100010000001,6.3189999,4.126000000000001,0.447,2.429,1.964,4.653,0.766,1.175,1.2939999999999998,9.217000000000002,19.288000200000003,1.097,0.2994244319961056,0.04326661530556787,0.08963110673263856,0.2712123018523613,0.3387511103219409,0.16901447381011045,0.6813530213149002,0.060782332294770654,0.053002830113117544,0.13045551358850657,0.06768145403860071,0.2128371311238402,0.04083937493956715,0.18298223957532053,0.1116657620949341,0.5457740916714395,0.21566769776297154,0.33010993118454746,21,3,17,72,428,118,30,45,5,13,22,34,11,10,12,31,150,6,1028,155.61000030000002,0.1513715956225681,0.3019218975216567
2012-04-01 03:30:00,6.539,0.174,1.8880000000000001,12.2820001,69.82300010000007,11.321000000000005,6.540000100000001,4.412000000000001,0.5609999999999999,2.503,1.8460000000000003,4.602000000000001,0.611,0.9840000000000001,1.317,7.1110001,15.054,1.147,0.3969768854971881,0.04543126676640218,0.08580389748449314,0.2808927889026557,0.33014444145536637,0.11115964436920699,0.7168170245726881,0.06388660250630002,0.057281759749504904,0.1945523131810634,0.07178931416099214,0.21457270892480662,0.03205109557055308,0.13839251745990058,0.11332746196912571,0.4687269897556324,0.1723775425663333,0.32576397386246786,21,3,17,72,428,118,30,45,5,13,22,34,11,10,12,31,150,6,1028,148.7150004000001,0.14466439727626468,0.2927934014731992
2012-04-01 04:00:00,5.513000000000001,0.21600000000000003,1.8020000000000003,12.204000000000002,63.974999800000035,10.682,5.387000099999999,4.493000000000001,0.437,3.541000000000001,1.6950000000000003,4.440999999999999,0.687,1.0830000000000002,1.211,8.477000199999999,14.715999899999998,1.1420000000000001,0.3187121929025651,0.024062418831031933,0.08513151590333629,0.2801817820378682,0.27300634382091266,0.0978767506738372,0.5159709262977887,0.0765206316669372,0.031341665558805264,0.2773996931209365,0.0775416798967634,0.20915472230136847,0.02805125179511116,0.16760406385950855,0.12015781920104708,0.618753923420254,0.17120728057879356,0.3211552065071757,21,3,17,72,428,118,30,45,5,13,22,34,11,10,12,31,150,6,1028,141.70200000000003,0.1378424124513619,0.2611536031443277
2012-04-01 04:30:00,5.2299999999999995,0.19700000000000004,1.7730000000000001,13.358000100000002,64.088,10.436,4.7140001,4.686000000000003,0.474,2.2329999999999997,2.1519999999999997,4.384,0.762,1.237,1.175,7.636999899999999,14.643999999999993,1.164,0.2846865778695013,0.024785748593361745,0.07378411474182836,0.2981909852204541,0.27887926751905456,0.09840501883984254,0.40351438414903223,0.07512553130957181,0.040591871107402776,0.13035090707148522,0.09627917559721652,0.21150040349219637,0.04462754958339278,0.19645188837077754,0.10420125486361245,0.46408550701514667,0.17748040998490971,0.3096204127637582,21,3,17,72,428,118,30,45,5,13,22,34,11,10,12,31,150,6,1028,140.3440001,0.13652140087548637,0.2476093191316042
