datetime,A_sigma,B_sigma,C_sigma,D_sigma,E_sigma,F_sigma,G_sigma,H_sigma,I_sigma,J_sigma,K_sigma,L_sigma,M_sigma,N_sigma,O_sigma,P_sigma,Q_sigma,U_sigma,A_std,B_std,C_std,D_std,E_std,F_std,G_std,H_std,I_std,J_std,K_std,L_std,M_std,N_std,O_std,P_std,Q_std,U_std,A_count,B_count,C_count,D_count,E_count,F_count,G_count,H_count,I_count,J_count,K_count,L_count,M_count,N_count,O_count,P_count,Q_count,U_count,count,sigma,mean,std
2012-05-01 00:00:00,10.896000099999998,0.5790000000000001,3.6639999999999997,16.119999999999997,97.2980000000001,26.621000000000016,4.802000000000002,11.427000000000001,1.174,1.6719999999999997,7.064000000000002,7.701000000000002,1.985,2.2080000000000006,2.976,3.635,33.75000000000001,0.562,0.3787943387971396,0.0661566323205769,0.15047330834475767,0.1738526326061175,0.315995985347623,0.136070563686498,0.1324479629946782,0.11638394904584402,0.03944909085429941,0.05772539768993833,0.08586285481411526,0.07000143968473603,0.07621279087366913,0.05669562005422759,0.11285536466350783,0.0919315143476369,0.1736015658409471,0.038144826356634236,36,6,27,104,600,214,43,90,13,26,66,79,24,25,27,47,277,9,1713,234.13400010000012,0.13668067723292476,0.22533504500111223
2012-05-01 00:30:00,9.546000000000003,0.544,3.4230000000000005,16.0230001,124.73999990000009,22.481000000000005,7.386000000000002,10.978000000000003,1.257,20.394999999999996,7.212000000000001,7.767000000000001,1.7559999999999998,2.16,2.8899999999999997,42.74100060000001,37.74,0.672,0.3425324593586508,0.0402525361519826,0.12871176305496693,0.2314864777369831,0.47284809292513635,0.0987203675057323,0.41442690418785394,0.11570788265008479,0.0629131472950138,1.3499330657681345,0.09455914639965912,0.07428212752289842,0.06528177498297312,0.05227889950384699,0.10331709274085121,1.2750542830125982,0.2751826976219869,0.035968736424845396,36,6,27,104,600,214,43,90,13,26,66,79,24,25,27,47,276,9,1712,319.71100060000015,0.18674707978971972,0.4432802102147478
2012-05-01 01:00:00,8.763999999999998,0.623,3.154,16.203,114.25500010000013,22.1109999,6.794999999999998,10.524,1.0330000000000001,15.002000200000001,6.6290000000000004,7.527999999999999,1.8109999999999995,2.128,3.0380000000000007,38.825000100000004,30.148999999999987,0.5259999999999999,0.32380615404409074,0.05443313941586198,0.10547111782453383,0.23666056064993096,0.4577950774634593,0.13978585948085936,0.4180422904314195,0.10031733917586652,0.027936282813500756,0.996353485895443,0.08016101657344783,0.07167486272132921,0.06797760447489251,0.060425794712743876,0.10329843634618557,1.1343653130016185,0.21452860535711563,0.03521047823841331,36,6,27,104,600,214,43,90,13,26,66,79,24,25,27,47,276,9,1712,289.09800030000014,0.1688656543808412,0.4005016581923409
2012-05-01 01:30:00,8.222999999999999,0.553,2.7160000000000006,14.018999900000004,100.472,20.783000000000005,8.618000100000001,10.670000000000003,1.053,10.0029999,6.356000000000001,7.87,1.8759999999999997,2.173,2.8850000000000002,34.16899970000001,28.161999999999992,0.468,0.3197261663182596,0.0548941405494855,0.0738148719949803,0.22862026800668117,0.40480995834776373,0.13646337931504188,0.5226914545119549,0.11157555117710331,0.026764404221527763,0.7902252503161559,0.0742142365975216,0.08751766177756357,0.058304796332397206,0.061529748902461795,0.10058471504301685,1.006570809995394,0.18081465787003762,0.03315870926317851,36,6,27,104,600,214,43,90,13,26,66,79,24,25,27,47,276,9,1712,261.06899960000004,0.1524935745327103,0.35552574436587114
2012-05-01 02:00:00,8.218,0.5870000000000001,2.8720000000000003,14.400000099999998,93.47900029999994,19.942000000000007,6.6470001,9.406999999999996,0.9710000000000001,7.849000100000001,6.035000000000001,7.692999999999999,1.79,1.9060000000000001,2.801,27.7450001,25.48700000000001,0.435,0.31616212939485977,0.06652342945659573,0.09691239031213397,0.2215185944695009,0.34805467568261683,0.1011126022098871,0.4360931260909873,0.08263405557682413,0.026750029954452435,0.5197986845719885,0.0733518661684641,0.06947408736586398,0.058592117489335196,0.0523022306726332,0.10565131059385602,0.8071630964829604,0.15328376894119247,0.024909837414162295,36,6,27,104,600,214,43,90,13,26,66,79,24,25,27,47,276,9,1712,238.26400069999994,0.13917289760514015,0.29518596274469505
2012-05-01 02:30:00,8.406000100000002,0.5640000000000001,2.667,14.047000100000002,90.02100020000005,19.223,6.2910001,9.418999999999999,1.364,2.5259999999999994,5.956,7.305999999999999,1.6920000000000002,1.9820000000000002,3.847,20.3279999,25.3450001,0.527,0.3121925826198589,0.05984647023843595,0.07389615027618844,0.2183255099601204,0.3165361024389194,0.07605176772873487,0.401627806157315,0.08220981120691531,0.08284067191348053,0.1044469979684212,0.06705131458725316,0.07558674092782133,0.05988757583280889,0.04877202066759178,0.21082810540459263,0.6942373547686356,0.1444077715915579,0.02214221709264404,36,6,27,104,600,214,43,90,13,26,66,79,24,25,27,47,276,9,1712,221.51100050000002,0.12938726664719627,0.25770959221493966
2012-05-01 03:00:00,8.664999900000002,0.545,2.732,14.422000000000004,89.35599989999997,18.43900000000001,6.7110001,8.972999999999999,0.9690000000000001,3.02,6.2090000000000005,7.133,1.5,2.046,3.657,16.102,26.0940001,0.542,0.3103735691631613,0.05440373761669934,0.08458906868686132,0.22121739263017073,0.2995215448610073,0.071087107700518,0.4495547362373375,0.07800236959811765,0.03526474959648182,0.1421364674691734,0.06784060744604235,0.06473182388164622,0.038973792755377684,0.06737685062393463,0.20555578193565732,0.6139388744171763,0.1665119246415287,0.03618624662001358,36,6,27,104,600,214,43,90,13,26,66,79,24,25,27,47,276,9,1712,217.11499999999998,0.1268195093457944,0.2464930808099762
2012-05-01 03:30:00,8.149,0.653,3.0070000000000006,14.691000099999995,85.33100020000002,19.083999999999993,6.7969998999999985,9.189,1.135,2.2129999999999996,5.888999999999999,6.982,1.8909999999999993,2.079,3.407000000000001,12.1820001,24.926999899999988,0.48800000000000004,0.312554832014917,0.055123195359727345,0.10176524574807082,0.2209701989864772,0.2719388715615829,0.08401216244210889,0.507309245072462,0.0805609616335719,0.04743132687613503,0.0810127530321378,0.0643076249706878,0.06418069519592724,0.07385766520913672,0.04665804682295791,0.2065971622854183,0.442805914112479,0.15295800180263394,0.030297597997934494,36,6,27,104,600,214,43,90,13,26,66,79,24,25,27,47,276,9,1712,208.0940002,0.12155023376168225,0.22412645450332952
2012-05-01 04:00:00,8.349,0.56,2.639,14.39,78.90900009999999,18.742000000000004,5.090999999999999,10.424999999999995,1.0190000000000001,2.7930000000000006,6.426999999999999,7.215,1.711,1.9179999999999997,2.7910000000000004,10.532999999999998,24.659999999999975,0.544,0.30942466195921003,0.04661187259343553,0.08487438346557205,0.21631521667441517,0.23109620560834104,0.08602374793668173,0.2395199702912636,0.12065693310215526,0.03838302242211275,0.10393158252501423,0.07069561299663293,0.07191460775238342,0.04905407767180914,0.05033431566370336,0.11271446161673247,0.4140393928980857,0.1564076795219427,0.04611971138003552,36,6,27,104,600,214,43,90,13,26,66,79,24,25,27,47,276,9,1712,198.71600009999995,0.11607242996495323,0.19272762877826516
2012-05-01 04:30:00,8.283,0.65,2.7740000000000005,14.844000099999993,91.07999990000003,20.982999999999997,5.918,10.552999999999999,1.075,3.787000000000001,7.631,9.683000000000005,2.088,2.8519999999999994,2.575,7.172999999999998,25.204000000000004,0.526,0.3033985944971683,0.08823982472028528,0.07920644524696818,0.22183110072848408,0.29565847331790523,0.11137422503757488,0.2690461124625837,0.1015438756235657,0.029964936774460844,0.17423936232842274,0.10654298737368009,0.16358865576808124,0.10033075734571735,0.19181890765337323,0.09135019184357276,0.27890699347331827,0.1272293268369291,0.03373096170846271,36,6,27,104,600,214,43,90,13,26,66,79,24,25,27,47,276,9,1712,217.67900000000003,0.12714894859813086,0.2188454658220618
2012-05-01 05:00:00,9.001,0.604,3.3880000000000012,16.322999999999997,89.14399960000009,21.66399999999999,5.597999999999999,10.511999999999995,1.3420000000000003,3.7309999999999994,7.7829998999999965,10.399000000000001,2.5380000000000003,2.442,3.405000000000001,6.683000000000001,27.23899999999999,0.546,0.31378304480380903,0.06772198067589774,0.11446946867728204,0.1812961627752848,0.23336226319564407,0.0974873608698873,0.21549657557923918,0.09022209799318642,0.06426527554617377,0.16839554625939487,0.13550841268218677,0.10759851505209135,0.11799456509222934,0.10151794586837017,0.1371541337702091,0.2668884018769441,0.14419172618381487,0.03937638886439435,36,6,27,104,600,214,43,90,13,26,66,79,24,25,27,47,276,9,1712,222.34199950000004,0.12987266325934582,0.18540851772903996
2012-05-01 05:30:00,11.863000099999999,0.5650000000000001,5.339999999999999,18.346999999999994,102.1349998,27.193000000000005,7.6980001,15.014999999999997,1.857,4.4889999000000005,9.802999999999999,12.719000000000001,2.296,5.27,3.8430000000000004,8.072999900000001,29.636999899999996,1.5459999999999998,0.4309596328300922,0.05882658129338017,0.24893207805981835,0.18074729505969536,0.2798218719945978,0.1393500329514109,0.3476332695713204,0.16849273981625,0.11225628872795661,0.32257623054069956,0.15647700442478096,0.18170390114774007,0.06909959206238779,0.5681929689814895,0.18965353025573115,0.2876915663588772,0.13961181077185442,0.30453931510470766,36,6,27,104,600,214,43,90,13,26,66,79,24,25,27,47,276,9,1712,267.68899969999995,0.156360397021028,0.23949123412997833
2012-05-01 06:00:00,13.193000099999999,0.8029999999999999,7.0020001,20.835999999999988,125.66200000000009,32.67500000000001,8.594000100000002,17.9459999,1.8539999999999999,5.433000000000001,14.171,13.882,5.228999999999999,4.895000099999999,4.207999999999999,10.696999999999997,35.18,0.5920000000000001,0.4254643614193048,0.07773394796783877,0.45835913179234944,0.19863787460547874,0.3406491092722376,0.15328775639276332,0.39811226019143003,0.20286087109980303,0.11839097548767423,0.3113811144908093,0.2730471227378733,0.1489067800551105,0.4594174300132723,0.4598154718217592,0.17801570883658718,0.34151584466231094,0.1773133082709251,0.04694086113871842,36,6,27,104,600,214,43,90,13,26,66,79,24,25,27,47,275,9,1711,322.85200030000004,0.18869199316189367,0.28394569964984967
2012-05-01 06:30:00,16.7220001,1.257,7.967999899999997,31.716000000000005,139.20799980000007,35.73100000000003,8.5510001,18.06,1.8430000000000004,7.194,16.323,17.253999999999998,4.795000000000001,7.1030001,4.32,13.946000100000001,40.82400019999998,0.864,0.4314634632867873,0.1877644801340232,0.344885292251078,0.3438260997304634,0.3220729373809913,0.17512110861024952,0.27444816565934,0.19248429091017016,0.09019622483429654,0.4828823268027745,0.32923772842458654,0.2484304328660931,0.39919767133226297,0.7336707745296938,0.1495832672666092,0.4509887633747006,0.20237537019812982,0.0830271040082695,36,6,27,104,600,214,43,90,13,26,66,79,24,25,27,46,276,9,1711,373.67900030000004,0.21839801303331388,0.30456341203866694
2012-05-01 07:00:00,16.5369999,1.2630000000000001,6.803000000000001,33.30999980000001,151.95099990000003,41.77900000000001,11.326,22.385000000000005,2.148,4.985,15.889999900000003,16.567000000000004,4.835000000000001,3.7790000000000004,3.7399999999999993,11.931000099999995,35.68699999999997,1.24,0.4274969728022406,0.22633316151196228,0.257130837913829,0.3393378895756311,0.3375117302822273,0.2303990392313961,0.32678878714916615,0.24812496977172557,0.10168591663069984,0.22003209905689808,0.30159294771298945,0.25555676532836247,0.23166448362020126,0.1550689846487685,0.12721888175362916,0.35916836640133615,0.13090349033273016,0.15943868553285445,36,6,27,104,600,214,43,90,13,26,66,79,24,25,27,47,276,9,1712,386.15599960000003,0.22555841098130844,0.2880661849334607
2012-05-01 07:30:00,17.244000099999997,0.762,6.118999999999999,29.481000000000012,145.90599989999998,37.85900000000001,7.949999999999999,18.81600000000001,1.7790000000000001,4.414999999999999,14.546999999999997,14.646999999999998,4.697999999999999,4.3270001,3.8809999999999993,4.376000000000002,40.46700000000003,1.206,0.48536849557541656,0.07750354830586792,0.2124042133705211,0.3308510930339546,0.298481619612261,0.18548268857485936,0.2584204040026109,0.16166617012163603,0.07045547784930821,0.2595509998795257,0.21782031954891537,0.1658805964594012,0.17461541592385496,0.24049290048287722,0.13348770977497765,0.06490368584782183,0.1516690787074461,0.12987493984599185,36,6,27,104,600,214,43,90,13,26,66,79,24,25,27,47,275,9,1711,358.48000010000004,0.20951490362361194,0.2524118369492202
2012-05-01 08:00:00,17.623,1.138,5.7090000000000005,31.716999899999994,144.8219998,42.32000010000001,5.459,15.725000000000009,1.9460000000000002,5.1369999,12.758,13.801000000000004,3.654,4.918000000000001,3.817999999999999,4.917,37.213,1.088,0.442604401637858,0.13822976042324123,0.20896564556319067,0.3856123206353556,0.3073265658346066,0.26584659957086854,0.10458579378362555,0.12130489284737904,0.11502781157571171,0.29403496992495576,0.17943072112373532,0.16449155183905342,0.12844496368348654,0.2254947375586993,0.17393704857245587,0.12096470077841957,0.1280501463756476,0.12768461579654422,36,6,27,104,600,216,43,90,13,26,66,79,24,25,27,47,276,9,1714,353.7629997,0.2063961491831972,0.2629822490324078
2012-05-01 08:30:00,14.870000099999999,1.74,6.300000000000001,32.38200000000001,141.12299970000015,37.979000100000015,6.648000000000001,16.08900000000001,2.383,3.9419999999999993,15.381000000000004,13.182,3.2590000000000003,4.89,4.159,4.936000000000001,36.86700000000001,1.05,0.355800827882992,0.2896080109389241,0.19297329428626211,0.351806407976112,0.3045560584265228,0.18758520334703976,0.16758496630137368,0.1343416782568013,0.1335141470875932,0.167507391340938,0.23407420630429956,0.18003993390194237,0.1856436462844799,0.24443693801605898,0.185094878265483,0.1320288982467396,0.13422257501727783,0.13875067567403052,36,6,27,104,602,216,43,90,14,26,67,79,24,25,27,47,276,9,1718,347.17999990000027,0.20208381833527372,0.24941585486863774
